feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	ks_distance
59	47	proteomics_60	proteomics_48	random.realistic.proteomics	-0.05906666666666667
79	20	proteomics_80	proteomics_21	random.realistic.proteomics	0.05893333333333334
13	115	proteomics_14	metagenomics_16	random.realistic.metagenomics	0.058666666666666666
87	129	proteomics_88	metagenomics_30	random.realistic.metagenomics	0.058666666666666666
20	61	proteomics_21	proteomics_62	random.realistic.proteomics	-0.05846666666666667
83	16	proteomics_84	proteomics_17	random.realistic.proteomics	-0.058333333333333334
87	74	proteomics_88	proteomics_75	random.realistic.proteomics	0.05826666666666667
77	44	proteomics_78	proteomics_45	random.realistic.proteomics	-0.05813333333333333
90	16	proteomics_91	proteomics_17	random.realistic.proteomics	0.05813333333333333
21	49	proteomics_22	proteomics_50	random.realistic.proteomics	-0.057800000000000004
96	36	proteomics_97	proteomics_37	random.realistic.proteomics	-0.05773333333333333
40	139	proteomics_41	metagenomics_40	random.realistic.metagenomics	0.05766666666666667
90	83	proteomics_91	proteomics_84	random.realistic.proteomics	0.05766666666666667
52	88	proteomics_53	proteomics_89	random.realistic.proteomics	0.057466666666666666
39	7	proteomics_40	proteomics_8	random.realistic.proteomics	-0.05706666666666667
64	96	proteomics_65	proteomics_97	random.realistic.proteomics	-0.057
67	22	proteomics_68	proteomics_23	random.realistic.proteomics	0.056933333333333336
48	135	proteomics_49	metagenomics_36	random.realistic.metagenomics	-0.05666666666666667
1	42	proteomics_2	proteomics_43	random.realistic.proteomics	-0.056466666666666665
81	63	proteomics_82	proteomics_64	random.realistic.proteomics	0.056466666666666665
99	37	proteomics_100	proteomics_38	random.realistic.proteomics	-0.05633333333333333
87	127	proteomics_88	metagenomics_28	random.realistic.metagenomics	-0.056266666666666666
85	55	proteomics_86	proteomics_56	random.realistic.proteomics	0.05606666666666667
8	19	proteomics_9	proteomics_20	random.realistic.proteomics	-0.056
9	35	proteomics_10	proteomics_36	random.realistic.proteomics	-0.055933333333333335
95	110	proteomics_96	metagenomics_11	random.realistic.metagenomics	0.05586666666666667
8	95	proteomics_9	proteomics_96	random.realistic.proteomics	0.05553333333333334
98	1	proteomics_99	proteomics_2	random.realistic.proteomics	0.055466666666666664
18	34	proteomics_19	proteomics_35	random.realistic.proteomics	-0.055466666666666664
3	16	proteomics_4	proteomics_17	random.realistic.proteomics	0.055400000000000005
38	31	proteomics_39	proteomics_32	random.realistic.proteomics	-0.05506666666666667
66	10	proteomics_67	proteomics_11	random.realistic.proteomics	-0.054933333333333334
26	71	proteomics_27	proteomics_72	random.realistic.proteomics	0.0548
62	15	proteomics_63	proteomics_16	random.realistic.proteomics	-0.0548
1	98	proteomics_2	proteomics_99	random.realistic.proteomics	0.05466666666666667
51	103	proteomics_52	metagenomics_4	random.realistic.metagenomics	0.054599999999999996
44	72	proteomics_45	proteomics_73	random.realistic.proteomics	0.054533333333333336
16	83	proteomics_17	proteomics_84	random.realistic.proteomics	-0.054400000000000004
64	34	proteomics_65	proteomics_35	random.realistic.proteomics	0.05433333333333333
37	140	proteomics_38	metagenomics_41	random.realistic.metagenomics	-0.05433333333333333
7	1	proteomics_8	proteomics_2	random.realistic.proteomics	-0.05426666666666667
2	111	proteomics_3	metagenomics_12	random.realistic.metagenomics	0.0542
62	103	proteomics_63	metagenomics_4	random.realistic.metagenomics	0.05413333333333333
95	26	proteomics_96	proteomics_27	random.realistic.proteomics	0.054066666666666666
