sample	random.continuous_basic.proteomics	random.continuous_basic.metagenomics
834	0.3694642	0.8593341
835	0.4233291	0.20552033
836	0.7393831	0.49717683
837	0.44291374	0.8761217
838	0.9347785	0.5936579
839	0.14543988	0.7187422
840	0.58567387	0.8842953
841	0.14985657	0.6943728
842	0.63752913	0.6492648
843	0.7834662	0.603499
844	0.2720315	0.71683085
845	0.42948627	0.93768865
846	0.06959471	0.09710712
847	0.8407501	0.6154741
848	0.881964	0.6829522
849	0.4903644	0.7155118
850	0.18066065	0.8361038
851	0.48360774	0.7484053
852	0.8689621	0.59821093
853	0.43610922	0.8305882
854	0.75749606	0.70895046
855	0.7459057	0.68529564
856	0.870505	0.68537694
857	0.15235311	0.9150529
858	0.77626204	0.480053
859	0.078990266	0.6552302
860	-0.21233143	0.72142035
861	0.81792516	0.8049908
862	0.55281574	0.56794125
863	0.86407554	0.6519929
864	0.37933803	0.8546029
865	0.64504623	0.49367392
866	0.48466924	0.5277574
867	0.89052415	0.90980726
868	0.13251634	0.5824579
869	0.44195092	0.7522141
870	-0.16547012	0.69049984
871	0.38222376	0.7246734
872	0.5871722	0.6537476
873	0.17949042	0.64498067
874	0.40256962	0.73643726
875	0.38371933	0.6220216
876	0.42594844	0.658114
877	0.39883775	0.96400803
878	0.6847373	0.09560803
879	0.47133037	0.4277195
880	0.39325562	0.8217251
881	0.48486596	0.7946244
882	0.9731465	0.5651912
883	0.47976562	0.8090692
884	0.181454	0.8510134
885	0.52040315	0.5230512
886	0.10257534	0.36591673
887	0.14250085	0.6127176
888	0.9265674	0.816527
889	0.68073547	0.6369612
890	0.8798709	0.7855254
891	0.20331936	0.86810756
892	-0.039799035	0.7871323
893	0.4754984	0.903432
894	0.3630299	-0.04815926
895	0.18619715	0.13852662
896	0.7068135	0.7315842
897	0.51938355	0.6569322
898	0.14641672	0.75455886
899	0.7121492	0.5568101
900	0.35674688	0.6326001
901	0.4670549	0.72860813
902	0.30238792	0.72629845
903	0.6219181	0.5959182
904	0.067222536	0.7126841
905	0.41945818	0.6443841
906	0.5955678	0.6467223
907	0.4375333	0.61915565
908	0.092519745	0.8305901
909	0.67085034	0.8065297
910	0.44431087	0.70142233
911	0.41466057	0.32747012
912	-0.009772989	0.58578175
913	0.78714985	0.5641982
914	0.8038477	0.7996882
